track_id,name,album,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1NtIMM4N0cFa1dNzN15chl,Believer,Evolve,Imagine Dragons,0,0.772,0.78,10,-4.288,0,0.108,0.0512,0.0,0.119,0.719,124.988,204347,4
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,0,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,How Do You Sleep?,Sam Smith,69,0.561,0.682,1,-4.931,0,0.0856,0.153,0.0,0.0763,0.359,165.944,202205,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,89,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
3LlAyCYU26dvFZBDUIMb7a,Demons,Night Visions,Imagine Dragons,75,0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.329,0.419,89.929,175200,4
04aAxqtGp5pv12UXAg4pkq,Centuries,American Beauty/American Psycho,Fall Out Boy,81,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,4
3Te8uLyit6X3ncNW8Fp3K2,Immortals,American Beauty/American Psycho,Fall Out Boy,74,0.616,0.868,2,-3.606,1,0.0699,0.00131,1.54e-06,0.671,0.475,108.016,189387,4
52yOf7Ls1u5AO3cFIzQ58m,Cold,Cold,Maroon 5,0,0.7,0.714,9,-6.295,0,0.104,0.122,0.0,0.0428,0.458,99.909,234308,4
0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,Don't Wanna Know,Maroon 5,0,0.777,0.627,7,-6.142,1,0.0792,0.356,0.0,0.0956,0.444,100.054,214480,4
2iuZJX9X9P0GKaE93xcPjk,Sugar,V,Maroon 5,81,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4
7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,Maroon 5,73,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047,201160,4
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,Native,OneRepublic,75,0.663,0.706,1,-4.972,0,0.0383,0.0654,0.0,0.115,0.474,122.013,257840,4
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,DNCE,82,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,4
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,Lukas Graham,83,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,4
4G8gkOterJn0Ywt6uhqbhp,Radioactive,Night Visions,Imagine Dragons,73,0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,186813,4
